image_path,anatomical_view
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-piTr_0000.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-piTr_0001.jpg,coronal
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-piTr_0002.jpg,coronal
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-piTr_0003.jpg,sagittal
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-piTr_0004.jpg,sagittal
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-piTr_0005.jpg,sagittal
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-piTr_0006.jpg,sagittal
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-piTr_0007.jpg,sagittal
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-piTr_0008.jpg,sagittal
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-piTr_0009.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0010.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0011.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0012.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0013.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0014.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0015.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0016.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0017.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0018.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0019.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0020.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0021.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0022.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0023.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0024.jpg,axial
/content/drive/MyDrive/281_final_project/plane_classification_data/Testing/pituitary/Te-pi_0025.jpg,axial
